year,state,typical_home_value
2016,District of Columbia,506318.984101
2016,Florida,196025.731430
2016,Georgia,160720.110785
2016,Hawaii,535237.310759
2016,Idaho,198762.458422
2016,Illinois,170001.687190
2016,Indiana,126834.828699
2016,Iowa,137972.103003
2016,Kansas,129645.114290
2016,Kentucky,116810.974988
2016,Louisiana,171859.443969
2016,Maine,192741.504718
2016,Maryland,280783.426714
2016,Massachusetts,358477.880808
2016,Michigan,133180.743163
2016,Minnesota,205697.681794
2016,Mississippi,126386.456501
2016,Missouri,138237.166246
2016,Montana,224870.804786
2016,Nebraska,147623.710968
2016,Nevada,223071.316223
2016,New Hampshire,234117.311604
2016,New Jersey,308116.311147
2016,New Mexico,171028.704545
2016,New York,287860.211439
2016,North Carolina,167192.676773
2016,North Dakota,224894.880196
2016,Ohio,126183.520737
2016,Oklahoma,121272.644041
2016,Oregon,290734.032580
2016,Pennsylvania,162011.733533
2016,Rhode Island,243368.216413
2016,South Carolina,160109.150088
2016,South Dakota,177576.237566
2016,Tennessee,157785.707093
2016,Texas,176703.645618
2016,Utah,260683.914879
2016,Vermont,231604.822622
2016,Virginia,241919.430637
2016,Washington,303563.845642
2016,West Virginia,109411.791935
2016,Wisconsin,168492.657867
2016,Wyoming,232236.958887
2017,Alabama,141291.931775
2017,Alaska,283901.442135
2017,Arizona,231588.903974
2017,Arkansas,135419.292467
2017,California,476794.421441
2017,Colorado,344085.977977
2017,Connecticut,244745.218846
2017,Delaware,253168.965936
2017,District of Columbia,527395.375183
2017,Florida,211880.735121
2017,Georgia,171055.126543
2017,Hawaii,566140.076299
2017,Idaho,216785.067137
2017,Illinois,177862.342026
2017,Indiana,134037.063725
2017,Iowa,142390.945446
2017,Kansas,134457.262611
2017,Kentucky,122851.684853
2017,Louisiana,171067.989344
2017,Maine,205504.294879
2017,Maryland,290900.885464
2017,Massachusetts,382363.057282
2017,Michigan,143208.363179
2017,Minnesota,220022.905117
2017,Mississippi,128200.057559
2017,Missouri,145842.258253
2017,Montana,235442.040401
2017,Nebraska,155712.852362
2017,Nevada,243952.092579
2017,New Hampshire,248813.637542
2017,New Jersey,317954.545141
2017,New Mexico,175609.804228
2017,New York,304151.750604
2017,North Carolina,177172.964813
2017,North Dakota,221344.851502
2017,Ohio,132355.796185
2017,Oklahoma,124581.428744
2017,Oregon,318786.817904
2017,Pennsylvania,167999.670588
2017,Rhode Island,261157.834943
2017,South Carolina,167785.878248
2017,South Dakota,185100.324194
2017,Tennessee,169715.332599
2017,Texas,188303.438227
2017,Utah,283192.259056
2017,Vermont,241961.284363
2017,Virginia,250434.169607
2017,Washington,336869.086189
2017,West Virginia,110341.391716
2017,Wisconsin,178282.380785
2017,Wyoming,233085.880193
2018,Alabama,146925.037053
2018,Alaska,288140.707301
2018,Arizona,249278.127833
2018,Arkansas,140494.266621
2018,California,522279.017768
2018,Colorado,369783.298070
2018,Connecticut,250412.750633
2018,Delaware,259999.025766
2018,District of Columbia,555310.354510
2018,Florida,228021.313885
2018,Georgia,185834.989604
2018,Hawaii,594530.043158
2018,Idaho,241815.463861
2018,Illinois,185767.354644
2018,Indiana,143638.019258
2018,Iowa,148289.431401
2018,Kansas,141042.637351
2018,Kentucky,130184.510971
2018,Louisiana,173501.008182
2018,Maine,219141.821996
2018,Maryland,301149.202497
2018,Massachusetts,406297.429331
2018,Michigan,154345.062399
2018,Minnesota,234930.722191
2018,Mississippi,131246.511150
2018,Missouri,154072.067568
2018,Montana,249619.228836
2018,Nebraska,165468.230956
2018,Nevada,278088.907883
2018,New Hampshire,265628.020937
2018,New Jersey,331600.713842
2018,New Mexico,182360.812189
2018,New York,323586.432313
2018,North Carolina,189151.608430
2018,North Dakota,217436.759860
2018,Ohio,140644.176844
2018,Oklahoma,129126.045988
2018,Oregon,340886.890731
2018,Pennsylvania,176079.814437
2018,Rhode Island,279283.586758
2018,South Carolina,177564.171205
2018,South Dakota,193879.347590
2018,Tennessee,182134.306071
2018,Texas,200033.039943
2018,Utah,309851.098246
2018,Vermont,252513.068711
2018,Virginia,259741.932353
2018,Washington,371917.845098
2018,West Virginia,114089.489581
2018,Wisconsin,189601.870880
2018,Wyoming,236874.475826
2019,Alabama,155088.447454
2019,Alaska,305040.491998
2019,Arizona,266263.738421
2019,Arkansas,146016.206068
2019,California,537320.195676
2019,Colorado,387591.151421
2019,Connecticut,253624.383953
2019,Delaware,267294.910757
2019,District of Columbia,570920.145693
2019,Florida,239911.329755
2019,Georgia,199529.296810
2019,Hawaii,605271.769337
2019,Idaho,270380.597288
2019,Illinois,190741.604181
2019,Indiana,153541.736617
2019,Iowa,155691.666478
2019,Kansas,147956.616997
2019,Kentucky,137538.230313
2019,Louisiana,179209.843001
2019,Maine,229870.311414
